word,count
elle,685222
dans,629124
vous,599575
était,433113
pour,429052
avait,369409
plus,362473
bien,348240
mais,327293
tout,290070
comme,246438
nous,176624
leur,158017
encore,150414
quand,149820
sans,146652
même,140607
deux,140285
aussi,138876
tous,135815
faire,134332
princesse,126513
être,115599
petit,109722
père,107965
fait,103160
autre,102364
fille,101353
grand,100131
alors,99691
jour,99454
votre,98883
donc,98451
puis,95727
répondit,95054
femme,91599
cela,90298
mère,89874
homme,89821
étaient,89018
fois,88592
après,88564
château,87186
jamais,86872
trois,86701
avoir,85456
jeune,82990
voir,80964
prince,78111
temps,77065
toute,75698
leurs,72907
enfant,72525
petite,72047
tête,71960
jusqu,71700
beau,71069
dont,70361
pauvre,70301
suis,69649
demanda,68687
fils,68424
sous,66441
elles,65755
toutes,65152
aussitôt,64593
nuit,63596
maison,63577
terre,62374
toujours,61123
écria,60518
dire,60128
quelque,59236
porte,58964
faut,58820
comment,58568
monde,57899
belle,57186
bois,57025
autres,56172
main,55826
devant,55793
celui,55173
avaient,54656
cheval,54222
peut,53815
yeux,53774
vers,53264
vieille,53016
chambre,52393
voilà,52251
avez,52088
ainsi,51942
argent,51855
vieux,51655
prit,51589
bonne,51078
lendemain,51014
sont,50907
grande,50601
aller,49814
veux,49670
chez,49561
moment,49506
matin,49405
palais,47856
fort,46277
soleil,46272
tant,46205
coup,45303
très,44862
sœur,42920
personne,42638
peine,42316
maître,42110
chose,41869
jours,41839
pendant,41808
enfants,40996
point,40974
frère,40961
reine,40707
près,40572
notre,40167
alla,40107
loin,39990
avant,39668
route,39290
déjà,38911
voix,38801
arriva,38033
côté,37968
celle,37911
cœur,37561
pouvait,37436
dieu,37019
sais,36874
trouva,36813
trop,36754
beaucoup,36511
cour,36290
mort,36263
dessus,35787
seigneur,35737
depuis,35270
table,35107
heure,34514
vite,34256
trouver,34166
chat,33913
vint,33896
prendre,33750
voici,33717
quelques,33354
bout,33087
bientôt,32490
présent,32336
assez,32001
bras,31863
faisait,31659
soir,31551
longtemps,31527
enfin,31122
chercher,30910
chaque,30724
vais,30529
seul,30475
mari,30428
passer,30371
sera,30090
aurait,29711
milieu,29510
quel,29490
allait,29264
oiseau,29133
moins,29116
pourquoi,28803
disait,28666
manger,28566
donna,28388
quoi,28367
venir,28299
êtes,28080
autour,28025
frères,27539
parler,27530
pied,27388
entre,27297
mieux,27243
contre,27217
tour,27192
ville,27087
donner,27081
soit,26980
pays,26818
petits,26371
quatre,26354
seule,25940
instant,25820
page,25587
rights,25575
reprit,25547
sorte,25262
garçon,25256
mains,25203
reserved,24914
pourtant,24912
voyant,24907
vieillard,24907
entra,24762
under,24600
nouveau,24344
gens,24297
arbre,24273
corps,24262
lieu,24075
auprès,24019
haut,24014
effet,23962
abord,23960
premier,23890
serait,23863
coucher,23630
forêt,23618
seulement,23593
furent,23544
pieds,23465
chien,23340
some,23209
partit,23200
loup,22845
ceux,22830
grands,22794
aperçut,22727
long,22670
fond,22639
derrière,22615
hommes,22533
place,22456
joie,22360
released,22175
jeta,22171
hélas,22098
chacun,22075
demain,22058
voulait,22029
vrai,21967
bruit,21837
chemin,21785
jean,21549
première,21497
belles,21464
reste,21444
aucun,21339
besoin,21215
part,21174
mettre,21068
maintenant,20996
cher,20826
heureux,20795
doute,20786
magicien,20708
cent,20526
venait,20509
pris,20432
quelle,20405
disant,20242
violette,20181
allons,20039
ayant,19819
cheveux,19770
savait,19721
viens,19718
géant,19602
forme,19498
cents,19339
avais,19240
demande,19092
license,19060
dites,19046
ciel,18960
conte,18936
devait,18899
chevaux,18804
courut,18788
entendre,18724
voulut,18539
entendit,18465
rendre,18462
ouvrit,18344
chère,18322
peur,18276
salle,18260
